post_title,sku,images,product_page_url
Garnier Olia 6.15 Frozen Light Brown,100061,https://ucpksa.com/wp-content/uploads/2025/09/GARNIER-Forzen-Light-Brown_batcheditor_fotor.jpg ! alt : Garnier Olia 6.15 Frozen Light Brown - 54513 ! title : GARNIER Forzen Light Brown_batcheditor_fotor ! desc :  ! caption :,https://ucpksa.com/shop/garnier-olia-6-15-frozen-light-brown/
Garnier Olia 6.0 Light Brown,100062,https://ucpksa.com/wp-content/uploads/2025/09/Light-Brown_batcheditor_fotor.webp ! alt : Garnier Olia 6.0 Light Brown - 54522 ! title : Light Brown_batcheditor_fotor ! desc :  ! caption :,https://ucpksa.com/shop/garnier-olia-6-0-light-brown/
Garnier Olia 5.0 Luminous Browm,100063,https://ucpksa.com/wp-content/uploads/2025/09/GARNIER-Luminous_batcheditor_fotor.webp ! alt : Garnier Olia 5.0 Luminous Browm - 54514 ! title : GARNIER Luminous_batcheditor_fotor ! desc :  ! caption :,https://ucpksa.com/shop/garnier-olia-5-0-luminous-browm/
Garnier Olia 7.0 Dark Blond,100064,https://ucpksa.com/wp-content/uploads/2025/09/GARNIER-Dark-Blonde-Blond_batcheditor_fotor.webp ! alt : Adol Extra 24 Cap - 54458 ! title : GARNIER Dark Blonde Blond_batcheditor_fotor ! desc :  ! caption :,https://ucpksa.com/shop/garnier-olia-7-0-dark-blond/
Garnier Olia 6.6 Intense Red,100065,https://ucpksa.com/wp-content/uploads/2025/09/233399_1.jpg ! alt : Garnier Olia 6.6 Intense Red - 47403 ! title : 233399_1.jpg ! desc :  ! caption :,https://ucpksa.com/shop/garnier-olia-6-6-intense-red/
Garnier Micellar Water Dull Skin 400 mL,100066,https://ucpksa.com/wp-content/uploads/2025/09/234733.jpg ! alt : Garnier Micellar Water Dull Skin 400 mL - 47405 ! title : 234733.jpg ! desc :  ! caption :,https://ucpksa.com/shop/garnier-micellar-water-dull-skin-400ml/
Garnier Olia 4.0 Dark Brown,100067,https://ucpksa.com/wp-content/uploads/2025/09/GARNIER-Dark-Brown_batcheditor_fotor.webp ! alt : Adol Extra 24 Cap - 54457 ! title : GARNIER Dark Brown_batcheditor_fotor ! desc :  ! caption :,https://ucpksa.com/shop/garnier-olia-4-0-dark-brown/
Garnier Olia 5.35 Chocolate Brown,100068,https://ucpksa.com/wp-content/uploads/2025/11/10190.webp ! alt : Garnier Olia 5.35 Chocolate Brown - 59695 ! title : 10190.webp ! desc :  ! caption :,https://ucpksa.com/shop/garnier-olia-5-35-chocolate-brown/
Garnier Olia 4.8 Mocha Blond,100069,https://ucpksa.com/wp-content/uploads/2025/09/GARNIER-Mocha-Blond_batcheditor_fotor.webp ! alt : Garnier Olia 4.8 Mocha Blond - 54517 ! title : GARNIER Mocha Blond_batcheditor_fotor ! desc :  ! caption :,https://ucpksa.com/shop/garnier-olia-4-8-mocha-blond/
Garnier Olia 1.0 Deep Black,100070,https://ucpksa.com/wp-content/uploads/2025/09/GARNIER-Deep-Black_batcheditor_fotor.webp ! alt : Garnier Olia 1.0 Deep Black - 54510 ! title : GARNIER Deep Black_batcheditor_fotor ! desc :  ! caption :,https://ucpksa.com/shop/garnier-olia-1-0-deep-black/
Garnier Olia 2.0 Black,100071,https://ucpksa.com/wp-content/uploads/2025/09/GARNIER-Black_batcheditor_fotor.webp ! alt : Adol Extra 24 Cap - 54460 ! title : GARNIER Black_batcheditor_fotor ! desc :  ! caption :,https://ucpksa.com/shop/garnier-olia-2-0-black/
Garnier Face Cream-day Farness 50m,100072,https://ucpksa.com/wp-content/uploads/2025/09/231926_1.jpg ! alt : Garnier Face Cream-day Farness 50m - 47417 ! title : 231926_1.jpg ! desc :  ! caption :,https://ucpksa.com/shop/garnier-face-cream-day-farness-50m/
